I0,I1,I2,I3,I4
1046733.000000,32232.000000,0.000000,0.000000,0.000000
1046743.000000,32232.000000,0.000000,0.000000,0.000000
1046753.000000,32232.000000,0.000000,0.000000,0.000000
1046763.000000,32232.000000,0.000000,0.000000,0.000000
1046773.000000,32232.000000,0.000000,0.000000,0.000000
1046783.000000,32232.000000,0.000000,0.000000,0.000000
1046793.000000,32232.000000,0.000000,0.000000,0.000000
1046803.000000,32232.000000,0.000000,0.000000,0.000000
1046813.000000,32232.000000,0.000000,0.000000,0.000000
1046823.000000,32232.000000,0.000000,0.000000,0.000000
1046833.000000,32232.000000,0.000000,0.000000,0.000000
1046843.000000,32232.000000,0.000000,0.000000,0.000000
1046853.000000,32232.000000,0.000000,0.000000,0.000000
1046863.000000,32232.000000,0.000000,0.000000,0.000000
1046873.000000,32232.000000,0.000000,0.000000,0.000000
1046883.000000,32232.000000,0.000000,0.000000,0.000000
1046893.000000,32232.000000,0.000000,0.000000,0.000000
1046903.000000,32232.000000,0.000000,0.000000,0.000000
1046913.000000,32232.000000,0.000000,0.000000,0.000000
1046923.000000,32232.000000,0.000000,0.000000,0.000000
1046933.000000,32232.000000,0.000000,0.000000,0.000000
1046943.000000,32232.000000,0.000000,0.000000,0.000000
1046953.000000,32232.000000,0.000000,0.000000,0.000000
1046963.000000,32232.000000,0.000000,0.000000,0.000000
1046973.000000,32232.000000,0.000000,0.000000,0.000000
1046983.000000,32232.000000,0.000000,0.000000,0.000000
1046993.000000,32232.000000,0.000000,0.000000,0.000000
1047003.000000,32232.000000,0.000000,0.000000,0.000000
1047013.000000,32232.000000,0.000000,0.000000,0.000000
1047023.000000,32232.000000,0.000000,0.000000,0.000000
1047033.000000,32232.000000,0.000000,0.000000,0.000000
1047043.000000,32232.000000,0.000000,0.000000,0.000000
1047053.000000,32232.000000,0.000000,0.000000,0.000000
1047063.000000,32232.000000,0.000000,0.000000,0.000000
1047073.000000,32232.000000,0.000000,0.000000,0.000000
1047083.000000,32232.000000,0.000000,0.000000,0.000000
1047093.000000,32232.000000,0.000000,0.000000,0.000000
1047103.000000,32232.000000,0.000000,0.000000,0.000000
1047113.000000,32232.000000,0.000000,0.000000,0.000000
1047123.000000,32232.000000,0.000000,0.000000,0.000000
1047133.000000,32232.000000,0.000000,0.000000,0.000000
1047143.000000,32232.000000,0.000000,0.000000,0.000000
1047153.000000,32232.000000,0.000000,0.000000,0.000000
1047163.000000,32232.000000,0.000000,0.000000,0.000000
1047173.000000,32232.000000,0.000000,0.000000,0.000000
1047183.000000,32232.000000,0.000000,0.000000,0.000000
1047193.000000,32232.000000,0.000000,0.000000,0.000000
1047203.000000,32232.000000,0.000000,0.000000,0.000000
1047213.000000,32232.000000,0.000000,0.000000,0.000000
1047223.000000,32232.000000,0.000000,0.000000,0.000000
1047233.000000,32232.000000,0.000000,0.000000,0.000000
1047243.000000,32232.000000,0.000000,0.000000,0.000000
1047253.000000,32232.000000,0.000000,0.000000,0.000000
1047263.000000,32232.000000,0.000000,0.000000,0.000000
1047273.000000,32232.000000,0.000000,0.000000,0.000000
1047283.000000,32232.000000,0.000000,0.000000,0.000000
1047293.000000,32232.000000,0.000000,0.000000,0.000000
1047303.000000,32232.000000,0.000000,0.000000,0.000000
1047313.000000,32232.000000,0.000000,0.000000,0.000000
1047323.000000,32232.000000,0.000000,0.000000,0.000000
1047333.000000,32232.000000,0.000000,0.000000,0.000000
1047343.000000,32232.000000,0.000000,0.000000,0.000000
1047353.000000,32232.000000,0.000000,0.000000,0.000000
1047363.000000,32232.000000,0.000000,0.000000,0.000000
1047373.000000,32232.000000,0.000000,0.000000,0.000000
1047383.000000,32232.000000,0.000000,0.000000,0.000000
1047393.000000,32232.000000,0.000000,0.000000,0.000000
1047403.000000,32232.000000,0.000000,0.000000,0.000000
1047413.000000,32232.000000,0.000000,0.000000,0.000000
1047423.000000,32232.000000,0.000000,0.000000,0.000000
1047433.000000,32232.000000,0.000000,0.000000,0.000000
1047443.000000,32232.000000,0.000000,0.000000,0.000000
1047453.000000,32232.000000,0.000000,0.000000,0.000000
1047463.000000,32232.000000,0.000000,0.000000,0.000000
1047473.000000,32232.000000,0.000000,0.000000,0.000000
1047483.000000,32232.000000,0.000000,0.000000,0.000000
1047493.000000,32232.000000,0.000000,0.000000,0.000000
1047503.000000,32232.000000,0.000000,0.000000,0.000000
1047513.000000,32232.000000,0.000000,0.000000,0.000000
1047523.000000,32232.000000,0.000000,0.000000,0.000000
1047533.000000,32232.000000,0.000000,0.000000,0.000000
1047543.000000,32232.000000,0.000000,0.000000,0.000000
1047553.000000,32232.000000,0.000000,0.000000,0.000000
1047563.000000,32232.000000,0.000000,0.000000,0.000000
1047573.000000,32232.000000,0.000000,0.000000,0.000000
1047583.000000,32232.000000,0.000000,0.000000,0.000000
1047593.000000,32232.000000,0.000000,0.000000,0.000000
1047603.000000,32232.000000,0.000000,0.000000,0.000000
1047613.000000,32232.000000,0.000000,0.000000,0.000000
1047623.000000,32232.000000,0.000000,0.000000,0.000000
1047633.000000,32232.000000,0.000000,0.000000,0.000000
1047643.000000,32232.000000,0.000000,0.000000,0.000000
1047653.000000,32232.000000,0.000000,0.000000,0.000000
1047663.000000,32232.000000,0.000000,0.000000,0.000000
1047673.000000,32232.000000,0.000000,0.000000,0.000000
1047683.000000,32232.000000,0.000000,0.000000,0.000000
1047693.000000,32232.000000,0.000000,0.000000,0.000000
